,,,,,"This page is auto-generated, do not touch!
1. Hide Column E
2. Update the required versions in the Version Lookup page
3. Filter column A by ""yes""
4. Copy columns B - N to the FAS",,,,,,,,,
,,,,hide,CPUID Field,,,,,Configuration by TDH.MNG.INIT,,Virtualization,,
Applicable for Selected Versions,Leaf,Sub-Leaf From,Sub-Leaf To,Header,Reg.,MSB,LSB,Field Size,Field Name,TD_PARAMS Section(s),Configuration Details,Bit or Field Virtualization Type,Virtualization Details,
yes,0x0,N/A,N/A,Leaf,,,,,Leaf 0x0,,,,,
yes,0x0,N/A,N/A,Field,EAX,31,0,32,MaxIndex,Fixed,0x21,Bit field is always reported as a fixed value to the TD.,,
yes,0x0,N/A,N/A,Field,EBX,31,0,32,Genu,Native,0,Bit field value reflects the native value returned by executing CPUID.,,
yes,0x0,N/A,N/A,Field,ECX,31,0,32,ntel,Native,0,Bit field value reflects the native value returned by executing CPUID.,,
yes,0x0,N/A,N/A,Field,EDX,31,0,32,ineI,Native,0,Bit field value reflects the native value returned by executing CPUID.,,
yes,0x1,N/A,N/A,Leaf,,,,,Leaf 0x1,,,,,
yes,0x1,N/A,N/A,Field,EAX,3,0,4,Stepping ID,Calculated,Min. of all packages,Bit field is computed by the Intel TDX module at TDH.SYS.INIT time,,
yes,0x1,N/A,N/A,Field,EAX,7,4,4,Model ID,Native,0,Bit field value reflects the native value returned by executing CPUID.,,
yes,0x1,N/A,N/A,Field,EAX,11,8,4,Family ID,Native,0,Bit field value reflects the native value returned by executing CPUID.,,
yes,0x1,N/A,N/A,Field,EAX,13,12,2,Processor Type,Native,0,Bit field value reflects the native value returned by executing CPUID.,,
yes,0x1,N/A,N/A,Field,EAX,15,14,2,Reserved,Fixed,0x0,Bit field is always reported as a fixed value to the TD.,,
yes,0x1,N/A,N/A,Field,EAX,19,16,4,Extended Model ID,Native,0,Bit field value reflects the native value returned by executing CPUID.,,
yes,0x1,N/A,N/A,Field,EAX,27,20,8,Extended Family ID,Native,0,Bit field value reflects the native value returned by executing CPUID.,,
yes,0x1,N/A,N/A,Field,EAX,31,28,4,Reserved,Fixed,0x0,Bit field is always reported as a fixed value to the TD.,,
yes,0x1,N/A,N/A,Field,EBX,7,0,8,Brand Index,Native,0,Bit field value reflects the native value returned by executing CPUID.,,
yes,0x1,N/A,N/A,Field,EBX,15,8,8,CLFLUSH Line Size,Fixed,0,Fixed,0x8,
